"@timestamp","movie_title","tomatometer_status","audience_rating","tomatometer_rating",cast
"1993-12-21T16:00:00.000Z",Philadelphia,"Certified Fresh",89,80,"Tom Hanks, Denzel Washington, Antonio Banderas, Jason Robards, Mary Steenburgen, Ron Vawter, Joanne Woodward, Robert Ridgely, Paul Lazar, Bradley Whitford, Tracey Walter, John Bedford Lloyd, Andre B. Blake, Robert W. Castle, Robert Castle, Daniel Chapman, Molly Hickok, Dan Olmstead, Ann Dowd, Elizabeth Roby, David Drake, Obba Babatundé, Charles Napier, Roger Corman, Charles Glenn, Roberta Maxwell, Buzz Kilman, Karen Finley, Anna Deavere Smith, Warren Miller, Stephanie Roth, Julius ""Dr. J"" Erving, Dodie Demme, Joey Perillo, Kenneth Utt, Lauren Roselli, James B. Howard, Charles Techman, Jim Roche, Daniel von Bargen, Kathryn Witt, Jane Moore, Adam Le Fevre, Jordan Cael, Harry Northrup, Steve Vignari, Lawrence T. Wrentz, Donna Hamilton, Tony Fitzpatrick, Ira Flitter, Gene Borkan, Lucas Platt, Lewis Walker, Randy Aaron Fink, Lisa Summerour, Howard Feuer, Paul Moore, Gary Goetzman, Karen Finley (II)"
"1994-07-05T16:00:00.000Z","Forrest Gump",Fresh,95,72,"Tom Hanks, Robin Wright, Gary Sinise, Mykelti Williamson, Sally Field, Haley Joel Osment, Michael Conner Humphreys, Hanna R. Hall, Ellen Lewis, Dick Cavett, Rebecca Williams, Geoffrey Blake, George Kelly, Bob Penny, John Randall, Sam Anderson, Margo Moorer, Ione M. Telech, Christine Seabrook, John Worsham, Peter Dobson, Siobhan Fallon Hogan, Alexander Zemeckis, Logan Livingston Gomez, Ben Waddel, Elizabeth Hanks, Tyler Long, John William Galt, Christopher Jones, Grady Bowman, Kevin Mangan, Fay Genens, Frank Geyer, Joe Alaskey, Rob Landry, Jason McGuire, Pete Auster, Sonny Shroyer, Brett Rice, Ed Davis, Daniel Striepeke, Mary Ellen Trainor, Bruce Lucvia, David Brisbin, Kirk Ward, Aaron Michael Lacey, Angela Lomas, Timothy Record, Deborah McTeer, Mark Matheisen, Al Harrington, Bob Harks, Don Fischer, Kenneth Bevington, Michael Flannery, Gary Robinson, Marlena Smalls, Kitty K. Green, Afemo Omilami, Matt Wallace, Dante McCarthy, Paulie DiCocco III, Mike Jolly, Michael Kemmerling, John Voldstad, Jeffrey Winner, Russ Wilson, Daniel J. Gillooly, Calvin Gadsden, Aaron Izbicki, Michael Burgess, Steven Griffith, Bill Roberson, Michael McFall, Eric Underwood, Stephan Derelian, Byron Minns, Bonnie Ann Burgess, Oliver Scott, Hilary Chaplain, Isabel Rose, Jay Ross, Richard D'Allesandro, Dick Stilwell, Kevin Davis, Michael Jace, Tim Perry, Vanessa Roth, Emily Carey, Paul Raczkowski, Valentino, Tiffany Salerno, Marla Sucharetza, Aloysius Gigl, Jack Bowden, Lazarus Jackson, Benson W. Terry, Matt Rebenkoff, Peter Bannon, Joe Washington, Nora Dunfee, Natalie Hendrix, Hallie D'Amore, Jim Hanks, Chiffonye Cobb, Juan Singleton, Bobby K. Richardson, Michael Mattison, Lenny Herb, Charles Boswell, Tim McNeil, Lonnie Hamilton, Teresa Denton, Hanna Hall, Harold G. Herthum, Tommy Johnson"
"1995-06-29T16:00:00.000Z","Apollo 13","Certified Fresh",87,95,"Bill Paxton, Tom Hanks, Kevin Bacon, Gary Sinise, Ed Harris, Kathleen Quinlan, David Andrews, Xander Berkeley, Mary Kate Schellhardt, Emily Ann Lloyd, Miko Hughes, Max Elliott Slade, Jean Speegle Howard, Tracy Reiner, Michelle Little, Chris Ellis, Joe Spano, Marc McClure, Ben Marley, Clint Howard, Loren Dean, Tom Wood, Frank Lovell, Googy Gress, Patrick Mickler, Ray McKinnon, Max Grodénchik, Christian Clemenson, Brett Cullen, Ned Vaughn, Andy Milder, Geoffrey Blake, Wayne Duvall, Jim Meskimen, Joseph Culp, John Short, Ben Bode, Andrew Lipschultz, Todd Louiso, Gabriel Jarret, Christopher John Fields, Kenneth White, Jim Ritz, Andrew Lipshultz, Mark Wheeler, Larry B. Williams, Endre Hules, Karen Martin, Maureen Hanley, Meadow Williams, Walter von Huene, Brian Markinson, Steve Rankin, John Dullaghan, Austin O'Brien, John Wheeler, Louisa Marie, Paul Mantee, Thom Barry, Julie Donatt, Arthur Senzy, Carl Gabriel Yorke, Frank Cavestani, Ryan Holihan, John M. Mathews, Rance Howard, Jane Jenkins, Todd Hallowell, James Ritz, Matthew Goodall, Taylor Goodall, Steve Ruge, Misty Dickinson, Herbert Jefferson Jr., Roger Corman, Lee Anne Matusek, Mark D. Newman, Mark McKeel, Patty Raya MacMillan, Jack Conley, Jeffrey S. Kluger, Bruce Wright, Ivan Allen, Rt. Rev. J. Jon Bruno, Reed Rudy, Steve Bernie, Steven Ruge"
"1995-10-26T16:00:00.000Z","Leaving Las Vegas","Certified Fresh",85,90,"Nicolas Cage, Elisabeth Shue, Julian Sands, Richard Lewis, Valeria Golino, Graham Beckel, R. Lee Ermey, Laurie Metcalf, David Brisbin, Xander Berkeley, Lou Rawls, Albert Henderson, Steven Weber, Kim Adams, Emily Procter, Stuart Regen, Al C. Henderson, Shashi Bhatia, Carey Lowell, Anne Lange, Thomas Kopache, Vincent Ward, French Stewart, Lucinda Jenney, Mike Figgis, Waldemar Kalinowski, Ed Lauter, David Kriegel, Bill Thompson, Marek Stabrowski, Mariska Hargitay, Danny Huston, Shawnee Smith, Paul Quinn, Julian Lennon, Tracy Thorne, Bob Rafelson, Susan Barnes, Marc Coppola, Michael A. Goorjian, Davidlee Willson, Sergio Premoli, Gordon Michaels"
"1995-11-21T16:00:00.000Z","Toy Story","Certified Fresh",92,100,"Tom Hanks, Tim Allen, Don Rickles, Jim Varney, Wallace Shawn, John Ratzenberger, Annie Potts, John Morris, Erik von Detten, Laurie Metcalf, R. Lee Ermey, Sarah Freeman, Penn Jillette, Joe Ranft"
"1996-03-14T16:00:00.000Z","The Celluloid Closet",Fresh,89,96,"Lily Tomlin, Joseph Breen, Susie Bright, Tony Curtis, Quentin Crisp, Harvey Fierstein, Richard Dyer, Whoopi Goldberg, Jay Presson Allen, Farley Granger, Arthur Laurents, Shirley MacLaine, Jan Oxenberg, Paul Rudnick, Mart Crowley, Antonio Fargas, Barry Sandler (II), Tom Hanks, Ron Nyswaner, Gore Vidal, Daniel Melnick, Harry Hamlin, Armistead Maupin, John Schlesinger, Stewart Stern, Susan Sarandon, Antonio Banderas, Sharon Stone"
"1996-06-06T16:00:00.000Z","The Rock",Fresh,85,66,"Sean Connery, Nicolas Cage, Ed Harris, Michael Biehn, William Forsythe, David Morse, John Spencer, John C. McGinley, Tony Todd, Bokeem Woodbine, Danny Nucci, Vanessa Marcil Giovinazzo, Gregory Sporleder, Jim Maniaci, Greg Collins, Brendan Kelly, Steve Harris, Claire Forlani, Celeste Weaver, Todd Louiso, David Bowe, Raquel Krelle, Dennis Chalker, Marshall R. Teague, Duffy Gaver, Steve Decker, Joseph Hawes, Carlos Sandoval, Mike Mahrer, Rick Toms, Billy Devlin, Jack Yates, Juan A. Riojas, Joseph Patrick Kelly, Ingo Neuhaus, Harry Humphries, Howard Platt, Willie Garson, John Nathan Turner, Robert M. Anselmo, Jack Ford, T.J. Hageboeck, Dwight Hicks, Ralph Peduto, Anthony Clark, Andy Ryan, Hans Georg Struhar, Robert C. Besgrove, Sean Skelton, Raymond O'Connor, Jane Sanguinetti Luenell, Luenell, John W. Love Jr., Sam Whipple, Tom Towles, Robert Ben Rajab, Ronald Simmons, Leonard McMahan, Anthony Guidera, Jim Caviezel, John Enos III, Ken Kells, Fred Salvallon, Buck Kartalian"
"1996-10-03T16:00:00.000Z","That Thing You Do!","Certified Fresh",78,93,"Johnathon Schaech, Liv Tyler, Steve Zahn, Ethan Embry, Charlize Theron, Tom Hanks, Obba Babatundé, Giovanni Ribisi, Chris Ellis, Alex Rocco, Bill Cobbs, Peter Scolari, Rita Wilson, Chris Isaak, Robert Torti, Kevin Pollak, Howie Long, Chaille Percival, Holmes Osborne Jr., Claudia Stedelin, Dawn Maxey, Jack Milo, Keith Neubert, Lee Everett, Sean Whalen, Clint Howard, Sarah Koskoff, Mark Brettschneider, Kathleen Kinmont, Warren Berlinger, Clive Rosengren, Brittney Powell, Jonathan Demme, Erika Greene, Dave Oliver, Tracy Reiner, Barry Sobel, Paul Feig, Gedde Watanabe, Michael P. Byrne, Dick Corman, Diane McGee, Randy Fechter, Mars Callahan, Benjamin John Parrillo, Robert Ridgely, Marc McClure, Karen Praxel, Paulie DiCocco III, Bryan Cranston, Charlie Frye, Colin Hanks, Elizabeth Hanks, Bill Wiley, Cheryl L. Bruton, Heather Hewitt, Renee Lippin, Carol Androsky, Ginger Slaughter, Robert Wisdom, Larry Antoinio, Kennya J. Ramsey, Julie L. Harkness, Darlene Dillinger, Jennifer York, Bethany Hartf, Kathy Stuber, Cathryne Senescu, Steve Billington, Andy Duncan, Dave Ryan, Todd Simon, Mike Uhler, Marco Villanova, Rick Elias, Ted Kramer, Howard Locke, Don Markese, Paula Nichols, Scott Rogness, Angel Sheppard, Wade Short, Scott Strecker, Jimmy Willis, Thomas Cleo, Ken Empie, Ron Jeffrey, Mike Piccirillo, Chris Wilson, Barth Beasley, James Leary, Alphonse Philippe Mouzon, Kristie J. Canavan, Bethany Chesser, Tara Schwartz, Melissa Hurley, Cherie Hill, Robin Lindsley Allen, Tom Everett Scott"
"1997-06-05T16:00:00.000Z","Con Air",Rotten,75,55,"Nicolas Cage, John Cusack, John Malkovich, Steve Buscemi, Ving Rhames, Colm Meaney, Mykelti Williamson, Rachel Ticotin, Monica Potter, M.C. Gainey, John Roselius, Landry Allbright, Danny Trejo, Angela Featherstone, Renoly Santiago, Jesse Borrego, Nick Chinlund, José Zúñiga, Steve Eastin, Mario Roberts, Brendan Kelly, Carl N. Ciarfalio, Mongo Brownlee, Ned Bellamy, John Marshall Jones, Fredric Lane, Martin McSorley, Dylan Haggerty (II), Matt Barry, Dan Bell, Bob Stephenson, Scott Ditty, Tommy Bush, Lauren Suzanne Pratt, Steve Hulin, Don Charles McGovern, Dave Chappelle, Doug Hutchison, Carl Ciarfalio, Jeris Poindexter, David Ramsey, Conrad Goode, Emilio Rivera, Tyrone Granderson Jones, Earl Billings, Greg Collins, Billy Devlin, Mark Ginther, Joseph Patrick Kelly, Marty McSorley, Jeff Olson, Dawn Bluford, Charlie Paddock, Randee Barnes, Don S. Davis, Barbara Sharma, Brian Hayes Currie, Robert J. Stephenson, Ashley Smock, Charles Lynn Frost, Joey Miyashima, Scott Burkholder, Kevin Cooney, Gerard L'Heureux, Pete Antico, George Randall, James Bozian, Harley Zumbrum, Doug Dearth, David Roberson, Alexandra Balahoutis, Dick 'Skip' Evans, Sheldon Worthington, Robert Taft, Robert White, Chris Ellis, John Campbell, Brian Willems, Bill Cusack, Dabbs Greer, Marco Kyris, John Robotham"
"1997-06-26T16:00:00.000Z","Face/Off","Certified Fresh",82,92,"John Travolta, Nicolas Cage, Joan Allen, Alessandro Nivola, Gina Gershon, Dominique Swain, Nick Cassavetes, Colm Feore, Harve Presnell, John Carroll Lynch, CCH Pounder, Robert Wisdom, Margaret Cho, Thomas Jane, Danny Masterson, James Denton, Matt Ross, Tommy Flanagan, Dana Smith, Romy Walthall, Paul Hipp, Kirk Baltz, Chris Bauer, Lauren Sinclair, Ben Reed, Del Zamora, Lisa Boyle, Linda Hoffman, Michael Rocha, Megan Paul, Mike Werb, Tom Reynolds, Steve Hytner, Myles Jeffrey, Carmen Thomas, Walter Scott, Brooke Leslie, Jamie Denton, David McCurley, Cam Brainard, David Warshofsky, John Neidlinger, Norm Copton, Gregg Shawzin, Clifford Einstein, Marco Kyris, Tom Fridley, Andrew Wallace, Jacinto Rodriguez, Mike Webb, Chic Daniel, John Bloom, Laurence Walsh"
